Food Ingredients,Unnamed: 1,Health Conditions,Diabetes,High Blood Pressure,Heart Disease,Celiac Disease,Lactose Intolerance,IBS,Obesity,Food Allergies,Chronic Kidney Disease,Gout,Acid Reflux,Anemia,Asthma,Cholesterol Imbalances,Skin Conditions,Gallstones,Osteoporosis,Thyroid Disorders,Migraine
Water,,,Neutral,neutral,Neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
Sugar,,,Bad,bad,Bad,neutral,neutral,bad,bad,bad,bad,bad,bad,neutral,neutral,neutral,neutral,bad,neutral,neutral,neutral
High fructose corn syrup,,,Bad,bad,Bad,neutral,neutral,bad,bad,bad,bad,bad,bad,neutral,neutral,neutral,neutral,bad,neutral,neutral,neutral
Corn syrup,,,Bad,bad,Bad,neutral,neutral,bad,bad,bad,bad,bad,bad,neutral,neutral,neutral,neutral,bad,neutral,neutral,neutral
Salt,,,Neutral,bad,Bad,neutral,neutral,neutral,neutral,neutral,bad,bad,bad,neutral,neutral,neutral,neutral,neutral,bad,neutral,neutral
Vegetable oil,,,Neutral,neutral,Neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,bad,neutral,neutral,neutral,neutral,neutral,neutral
Palm oil,,,Neutral,neutral,Neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
Hydrogenated vegetable oil,,,Bad,neutral,Bad,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
Monosodium glutamate (MSG),,,Neutral,neutral,Neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,bad,neutral,bad,neutral,neutral,neutral
Natural and artificial flavors,,,Neutral,neutral,Neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,bad,neutral,bad,neutral,neutral,neutral
Citric acid,,,Neutral,neutral,Neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,bad
Sodium benzoate,,,Neutral,neutral,Neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,bad,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
Potassium sorbate,,,Neutral,neutral,Neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
Ascorbic acid,,,Neutral,neutral,Neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,bad,neutral,neutral,neutral,neutral,neutral,neutral
Caramel color,,,Neutral,neutral,Neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,good,neutral,neutral,neutral
Soy lecithin,,,Neutral,neutral,Neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
BHA,,,Neutral,neutral,Neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
BHT,,,Neutral,neutral,Neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
Xanthan gum,,,Neutral,neutral,Neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
Guar gum,,,Neutral,neutral,Neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
Monoglycerides,,,Neutral,neutral,Neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
Diglycerides,,,Neutral,neutral,Neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
Calcium carbonate,,,Neutral,neutral,Neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
Sodium chloride,,,Neutral,bad,Bad,neutral,neutral,neutral,neutral,neutral,bad,neutral,neutral,neutral,neutral,neutral,neutral,neutral,good,neutral,neutral
Baking soda,,,Neutral,neutral,Neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
Yeast,,,Neutral,neutral,Neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
Vinegar,,,Neutral,neutral,Neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,bad,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
Lactic acid,,,Neutral,neutral,Neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
